Date,Open,High,Low,Close,Adj Close,Volume,DAY
9/23/2013,156.160004,156.300003,155.160004,155.740005,130.537064,1400700,0
9/24/2013,155.639999,156.220001,155.020004,155.399994,130.252029,1632400,1
9/25/2013,155.399994,155.660004,154.720001,154.899994,129.832932,789000,2
9/26/2013,155.119995,155.860001,154.860001,155.520004,130.352615,622250,3
9/27/2013,154.699997,154.940002,154.339996,154.860001,129.799454,1405950,4
9/30/2013,153.399994,154.380005,153.100006,154,129.078583,1521800,5
10/1/2013,154.039993,155.259995,153.919998,155.179993,130.067627,1110450,6
10/2/2013,154.179993,155,153.740005,154.979996,129.900024,1253600,7
10/3/2013,154.600006,154.720001,152.839996,153.600006,128.743362,1447700,8
10/4/2013,153.679993,154.860001,153.479996,154.720001,129.682068,538450,9
10/7/2013,153.360001,154.300003,153.220001,153.399994,128.575714,690850,10
10/8/2013,153.339996,153.520004,151.479996,151.619995,127.083771,2071600,11
10/9/2013,151.899994,152.240005,150.720001,151.619995,127.083771,1340100,12
10/10/2013,153.199997,155.039993,153.199997,155.039993,129.950272,1441200,13
10/11/2013,154.740005,156.020004,154.619995,155.960007,130.721405,1235900,14
10/14/2013,155.020004,156.699997,154.880005,156.639999,131.291367,1408450,15
10/15/2013,156.179993,156.759995,155.259995,155.479996,130.319107,1655750,16
10/16/2013,156.360001,157.699997,156.300003,157.600006,132.096008,3102850,17
10/17/2013,157,158.759995,156.979996,158.679993,133.00119,2548900,18
10/18/2013,159.240005,159.860001,158.960007,159.740005,133.889709,1671950,19
10/21/2013,159.839996,160.059998,159.419998,159.820007,133.956787,1009100,20
10/22/2013,160.259995,161.139999,160.020004,160.679993,134.677643,1364950,21
10/23/2013,160.160004,160.199997,159.380005,159.940002,134.057312,948250,22
10/24/2013,160.220001,160.639999,159.860001,160.460007,134.493164,795600,23
10/25/2013,160.800003,161.199997,160.479996,161.199997,135.113403,1019700,24
10/28/2013,161.149994,161.669998,160.960007,161.399994,135.281082,1155000,25
10/29/2013,161.789993,162.389999,161.589996,162.389999,136.11084,844500,26
10/30/2013,162.529999,162.619995,160.929993,161.479996,135.348114,3362100,27
10/31/2013,161.399994,162.039993,160.800003,160.880005,134.8452,1437500,28
11/1/2013,161.279999,161.779999,160.529999,161.339996,135.230774,1341300,29
11/4/2013,161.910004,162.070007,161.380005,162.070007,135.842621,2940900,30
11/5/2013,161.339996,161.910004,160.839996,161.580002,135.431992,1147000,31
11/6/2013,162.210007,162.589996,161.729996,162.330002,136.060562,1510400,32
11/7/2013,162.649994,162.740005,160.100006,160.25,134.3172,1242100,33
11/8/2013,160.220001,162.449997,160.179993,162.449997,136.161209,1629500,34
11/11/2013,162.279999,162.619995,162.089996,162.419998,136.136047,1109900,35
11/12/2013,162.089996,162.470001,161.580002,162.130005,135.892975,929600,36
11/13/2013,161.330002,163.440002,161.330002,163.380005,136.940628,1336300,37
11/14/2013,163.610001,164.380005,163.320007,164.289993,137.703369,1720600,38
11/15/2013,164.5,165,164.320007,165,138.298508,710300,39
11/18/2013,165.279999,165.369995,164.009995,164.389999,137.787216,1319800,40
11/19/2013,164.279999,164.779999,163.740005,164.070007,137.518997,1156500,41
11/20/2013,164.339996,164.820007,163.080002,163.550003,137.08313,1468000,42
11/21/2013,164,164.949997,163.880005,164.830002,138.155991,2121600,43
11/22/2013,164.910004,165.669998,164.720001,165.669998,138.860107,1405200,44
